nid;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167
MN09;72196;72509;72598;72630;72785;73090;73599;74377;75452;76627;78631;81244;83467;84872;84803;83793;82137;80394;78412;76040;73765;72199;71636;71677;72091;72436;72572;72603;72715;72998;73624;74809;76390;78102;80326;82676;84597;85733;85681;84880;83538;81955;79652;76738;73821;71812;71099;71295;71883;72400;72553;72603;72745;73073;73474;74079;75367;77387;79310;81390;83240;84207;84153;83333;81965;80412;78292;75605;73025;71291;70713;70971;71637;72209;72465;72584;72829;73285;73972;74935;76111;77266;79007;81308;83433;84622;84518;83637;82200;80517;78176;75152;72384;70634;70213;70612;71428;72128;72443;72622;72800;73287;74168;75326;76520;77346;78272;79628;80838;81322;80755;79454;77886;76359;74624;72574;70632;69358;69039;69374;70406;71462;72163;72526;72758;73246;74001;74817;75502;75946;76059;75988;75688;75110;74043;72720;71438;70465;69664;69040;68564;68394;68599;69117;69864;70811;71634;72222;72606;73017;73475;73782;73996;74148;74147;73951;73599;73015;72177;71287;70622;70354;70370;70567;70792;70994;71302;71706
MN19;68500;67492;67334;67720;68480;71661;81319;98573;122190;158527;199352;236504;261545;272351;273980;267855;253779;226549;185891;142222;108208;89356;79936;74785;71124;68327;67452;67577;67946;70796;80908;99094;123589;157869;199053;238145;264508;275710;277283;270457;255877;228930;188909;145523;111417;91979;81745;75841;71476;68375;67383;67412;67715;70417;80281;98419;123131;159597;202560;241174;267226;278225;279623;273340;259059;231319;190520;146405;111742;92143;81989;76257;71867;68613;67466;67544;67878;70543;80317;98059;122827;157922;199497;238510;265772;277071;278267;271869;257797;230699;190409;147545;113333;93825;83387;77169;72265;68602;67362;67412;67871;70444;79356;95721;118301;150997;190296;227553;253064;263716;264246;256611;242261;218033;183529;146638;116843;97870;85416;75930;72812;69999;68183;67445;67484;68549;70921;74476;78776;83306;87675;91463;94159;95646;96161;95717;94317;91423;87210;82735;78966;76038;73533;71381;69648;68168;67143;66568;66478;66871;67648;69246;71563;74345;77337;80180;82589;84560;86314;87507;87678;86256;83425;80132;77284;74907;72601;70386
MN34;75046;75652;75903;75977;76074;76114;75710;74564;73190;71837;70570;69340;68403;67752;67165;66608;66290;66518;67262;68311;69653;70967;72293;73598;74782;75527;75890;75920;75994;76034;75597;74458;72985;71631;70309;69107;68174;67454;66739;66124;65665;65648;66169;67378;68592;69982;71502;73108;74516;75429;75864;75920;76019;76080;75721;74644;73312;71973;70715;69423;68411;67649;66968;66252;65802;65844;66438;67441;68576;69903;71383;73001;74444;75385;75847;75920;76042;76151;75887;74902;73599;72246;70909;69672;68748;68019;67324;66602;66119;66169;66711;67630;68805;70009;71457;72960;74335;75302;75788;75920;76031;76196;75963;75187;74081;72848;71649;70527;69620;68900;68244;67570;67064;66972;67420;68155;69033;69932;71019;72092;73216;74257;75113;75722;76077;76329;76328;76085;75619;75078;74438;73785;73103;72555;71935;71408;70959;70755;70712;70705;70879;71304;71948;72698;73566;74276;74933;75489;75890;76134;76249;76129;75889;75669;75319;74888;74424;73867;73012;72079;71349;71000;71143;71466;71996;72581;73291;74227
MN33;74842;75275;75435;75462;75564;75714;75318;74080;72566;70743;69316;68473;67933;67423;66534;65421;64582;64433;65247;66578;68122;69617;71193;72838;74256;75032;75346;75435;75558;75734;75315;74053;72544;71086;69880;69010;68316;67737;66801;65565;64638;64408;64974;66089;67447;68846;70548;72356;74016;74971;75347;75435;75564;75758;75335;73936;72123;70035;68550;67604;66930;66292;65324;64255;63416;63210;63906;65205;66756;68384;70205;72189;73881;74920;75301;75435;75615;75893;75484;74159;72437;70823;69430;68270;67413;66680;65725;64681;63897;63835;64498;65677;67099;68580;70249;72106;73711;74812;75281;75435;75638;75961;75757;74724;73368;72075;71096;70501;70099;69684;68933;67906;66814;66348;66649;67362;68254;69162;70210;71325;72700;73939;74820;75289;75549;75758;75925;75832;75514;75007;74199;73302;72416;71654;70921;70291;69822;69606;69683;69990;70409;70934;71583;72314;73056;73855;74523;75022;75404;75618;75799;75741;75519;75091;74339;73385;72439;71764;71190;70820;70541;70416;70761;71287;71921;72585;73319;74118
MN27;62458;62033;61913;61956;62211;62601;63919;66588;70529;76003;82520;88565;92535;93634;92379;89389;85477;80368;74400;68977;65344;63833;63227;62992;62675;62242;61978;61951;62104;62522;63913;66741;70750;75996;82391;88541;92514;93455;92095;89185;85438;80684;75188;70192;66871;65247;64421;63910;63220;62420;62003;61951;62167;62582;64149;67390;71770;77289;83909;90207;94177;94884;93271;89928;85718;80705;75127;70060;66696;65044;64262;63851;63291;62511;62044;61951;62066;62325;63680;66605;70921;76351;82775;88662;92149;92783;90979;87642;83734;79249;74260;69871;67126;65847;65192;64774;64077;63107;62384;61951;62080;62291;63446;66071;69892;75152;81085;86364;89830;90804;89717;87236;84294;80773;76787;73118;70528;68886;67685;66625;65832;64803;63765;62810;62191;61950;62231;63205;64971;68058;72418;76775;79911;81074;80830;79689;78037;75771;72804;69795;67471;66314;65981;66076;65979;65417;64461;63398;62492;61984;62048;62739;64137;66890;71074;75513;78693;80047;79960;79032;77475;75249;72356;69321;66838;65159;63923;63070
MN20;62132;61991;62074;62376;62912;64030;68414;77309;88772;103262;118301;132021;142213;147825;148972;146591;141077;131896;117049;99047;83000;72704;67416;64442;62879;62208;61994;62187;62561;63592;68425;78322;91012;105188;120016;134225;144885;150479;151513;148882;143066;133637;118873;100837;84622;73970;68381;64994;63095;62152;61938;62072;62448;63498;68201;77800;90269;104973;120487;134321;144797;150641;151741;149341;143688;134177;119465;101403;85177;74447;68695;65255;63279;62340;62050;62164;62486;63437;68179;77920;90419;104042;118162;132192;143603;149605;150445;147952;142307;133001;118470;100889;84983;74502;68861;65457;63408;62253;61868;62072;62348;63305;67666;76590;87671;99902;113043;126248;136367;141440;141446;137607;131006;122117;110177;96354;84073;75577;70140;66027;64575;63443;62587;62137;62082;62290;63110;64662;66568;68169;69214;70035;70506;70715;70519;70031;69377;68557;67669;66859;66128;65423;64709;63953;63281;62629;62136;61851;61800;61935;62232;62932;63918;64973;65889;66831;62349;63243;64175;65057;65693;65894;65662;65270;64822;64306;63531;62707
MN22;59179;58186;57827;57712;57624;57772;58627;60098;61386;62063;63211;64670;66203;67389;67767;67597;67320;67378;67746;67934;67569;66287;64270;61947;59786;58418;57887;57710;57584;57665;58513;60016;61502;62380;63737;65570;67272;68348;68488;68110;67624;67690;68468;69227;69225;68044;65734;62888;60189;58520;57922;57714;57586;57702;58498;59948;61382;62412;63750;65548;67501;68745;68909;68593;68195;68278;68899;69507;69419;68268;66016;63187;60428;58676;57985;57757;57624;57778;58783;60487;62063;62746;63889;65631;67371;68418;68443;67917;67484;67654;68492;69562;69958;69112;66993;64112;61283;59273;58257;57712;57552;57579;58168;59353;60646;61673;62694;63814;65041;65685;65335;64788;64366;64855;66459;68416;69712;69887;68922;67161;64758;62453;60529;59026;58118;57660;57600;57957;58718;59797;61275;63065;64687;65772;66450;66770;67128;67616;68243;68792;69027;68823;68066;66804;65227;63280;61343;59638;58446;57822;57618;57735;58122;58771;59853;61299;62649;63627;64273;64891;65314;65589;65541;65131;64445;63576;62284;60699
MN35;86218;87185;87591;87612;87542;86661;83718;79079;74101;68847;64851;61675;59523;58165;57280;57099;57938;60191;63847;68288;72552;76108;79246;81965;84343;86189;87488;88431;89313;88961;85492;79510;73155;67967;63889;60637;58352;56879;56004;55826;56550;58646;62084;66375;70712;74551;78067;81266;84023;86075;87400;88455;89447;89158;85753;79906;73444;67965;63717;60435;58266;56827;56020;55999;56869;59024;62469;66780;71191;74929;78318;81409;84126;86104;87431;88536;89611;89365;85884;79974;73737;68491;64367;61140;58867;57426;56472;56258;57008;59016;62295;66535;70728;74372;77667;80771;83575;85726;87259;88607;89779;89710;86605;81259;75689;70949;67107;64107;62184;60923;60234;60271;61121;63132;66286;70063;73655;76812;79708;82295;84299;85830;87052;87871;88240;88042;87329;86234;85112;83825;82312;80785;79515;78492;77598;76984;76812;77136;77884;78875;79861;80980;82266;83552;84770;85913;86953;87783;88224;88234;87845;87168;86323;85184;83751;82245;80992;79869;78774;77956;77642;77953;78733;79807;80940;82120;83469;84871
MN15;64006;62000;60878;60398;60217;60012;60536;63494;68519;76087;85503;94155;100023;101903;101121;98461;94961;90603;86092;82768;81706;78964;74230;68854;64630;62176;60886;60398;60288;59055;57216;56689;57218;58013;58940;56072;56670;56740;56258;55730;55662;56703;59368;63547;68586;70178;69150;66638;64018;62200;61168;60718;60610;60342;60937;64320;70136;78798;89365;99345;106051;108275;107399;104571;100789;96026;90955;87125;85708;82662;77650;71760;66516;63066;61334;60782;60614;60400;60949;64146;69645;77963;87979;97901;104657;106465;105169;102167;98740;94683;90790;88367;87916;84690;79068;72596;67076;63536;61570;60398;60634;63034;68494;78146;91896;109810;129706;97715;91208;92033;90199;86659;82399;77745;73045;68173;64429;62097;60504;59631;59027;59047;59254;59537;60201;60470;61197;62706;65250;68642;72392;76074;79442;82264;84204;85326;85816;85914;85948;85918;85488;83666;80158;75114;69766;65282;62232;60670;60142;60136;60468;61514;63206;65504;68064;70836;73764;77242;80910;84172;86042;85988;84366;81518;78294;74686;70816;67078
MN24;58016;56181;55578;55704;56567;60135;71813;93424;123910;168285;221496;272669;308621;324669;325845;315333;294662;259254;209021;155441;112132;85932;71175;63314;59129;56692;55596;55633;56312;60018;72450;95132;126178;169360;222407;274451;311575;327760;328674;317847;297282;262481;213161;160192;117385;90404;74191;64935;59841;56853;55596;55525;56294;60355;73262;96558;128785;173499;227918;279872;316104;331155;330733;319028;298035;263824;215751;163746;121039;93328;76078;65919;60268;57106;55687;55549;56141;59941;72318;94676;125078;167457;220582;271734;307549;322871;322960;311940;292322;259663;213767;163761;122523;95527;78483;68020;61575;57593;55804;55532;56235;59750;70529;89801;116248;154241;201849;248485;282156;296997;297058;286380;267947;239229;199383;156430;120453;96145;79606;67237;62855;59165;56719;55598;55393;55715;56923;59975;65690;76484;93087;111632;127145;137210;142508;143722;140875;133066;120349;105529;92300;82489;75194;69461;64955;61255;58500;56789;55842;55508;55859;57268;60411;66975;78349;92057;104145;112570;117599;119535;117988;112271;102536;90713;80031;71926;65867;61186
